transcript	CDS_start
F32A6.4g.3	5290620
Y62E10A.5b.1	13369243
Y62E10A.5a.2	13369412
Y62E10A.5a.1	13369412
F09E5.13.1	5373346
C25A1.11b.1	10196990
C25A1.11a.1	10196990
C41G7.5b.1	9524976
C41G7.5a.1	9522578
F58E10.4.1	14012579
K07C11.2.1	8221501
K07C11.2.2	8221501
B0207.4.1	5937484
C25A11.4e.1	9105515
C25A11.4d.1	9082983
C25A11.4f.1	9082983
C25A11.4f.2	9082983
C25A11.4c.2	9082983
C25A11.4a.1	9098346
C25A11.4i.1	9103762
C25A11.4g.1	9097447
C25A11.4h.1	9100259
C25A11.4b.1	9082983
C25A11.4c.1	9082983
C25A11.4l.1	9094746
C25A11.4k.1	9092285
C25A11.4m.1	9097335
C25A11.4j.1	9104692
D1022.7a.1	7478532
D1022.7c.2	7478532
D1022.7b.2	7478532
D1022.7b.1	7478532
D1022.7a.2	7478532
D1022.7c.1	7478532
C12D8.10a.1	10248956
C12D8.10c.1	10248956
C12D8.10a.2	10248956
C12D8.10b.2	10248956
C12D8.10b.1	10248956
F28H6.1a.1	14147707
F28H6.1b.1	14147707
F48F7.1a.1	13951291
F48F7.1b.1	13949489
T07D3.7b.1	874162
T07D3.7a.1	873212
F54D8.3b.1	5078789
F54D8.3a.2	5077766
F54D8.3a.1	5077766
F54D8.3b.4	5078789
F54D8.3b.2	5078789
F54D8.3b.3	5078789
K04F1.15.1	1644265
F36H1.6.1	11022605
T05H4.13b.1	6429912
T05H4.13b.2	6429912
T05H4.13c.1	6429912
T05H4.13c.2	6429912
T05H4.13a.2	6429912
T05H4.13a.1	6429912
T08B1.3.1	1999578
F56D12.1c.3	1309751
F56D12.1c.2	1309751
F56D12.1d.1	1309002
F56D12.1c.1	1309751
F56D12.1b.3	1309751
F56D12.1b.2	1309751
F56D12.1b.1	1309751
F56D12.1a.3	1309751
F56D12.1a.2	1309751
F56D12.1a.1	1309751
F45H10.1b.1	13488172
F45H10.1a.2	13491774
F45H10.1a.1	13491774
F13D12.4b.1	11729079
F13D12.4a.1	11729079
F13D12.4a.3	11729079
F13D12.4a.2	11729079
F01F1.6.2	5857209
F01F1.6.1	5857209
C54D1.4.1	7143577
F42G9.5b.2	776999
F42G9.5b.1	776999
F42G9.5a.1	778134
Y69F12A.2a.1	7454089
Y69F12A.2b.1	7454089
Y69F12A.2a.2	7454089
Y69F12A.2b.2	7454089
C01F6.5.1	9108946
F23B2.6.1	9147475
M18.7a.1	12123314
M18.7a.2	12123314
F36A4.7.2	4248188
F36A4.7.1	4248188
C05E11.4.1	4571468
F49E11.3.1	13042412
M195.3.1	8369083
C05E11.5.1	4565309
R13G10.2.1	3822430
B0019.1.1	12764948
F25C8.2a.1	20903441
F25C8.2b.1	20901348
ZK973.6c.1	4318033
ZK973.6b.1	4333111
ZK973.6a.1	4321095
C08B6.9.1	10130294
K06H7.6.1	8080652
F15H10.3a.1	10426223
F15H10.3a.2	10426223
F15H10.3b.1	10426321
F15H10.3c.1	10426255
F15H10.3d.1	10426255
F15H10.3a.3	10426223
F35G12.9.2	4594422
F35G12.9.1	4594422
F46F3.4a.1	11675962
F46F3.4d.1	11683782
F46F3.4b.1	11681673
F46F3.4c.1	11683306
VF36H2L.1.1	9233557
ZC434.6a.1	10341029
ZC434.6b.1	10341029
C42D8.8a.1	5116864
C42D8.8b.1	5116864
F55A12.7.1	5344704
T05H10.2.1	8047564
T05H10.2.2	8047564
W03G9.4.1	4967070
K04G2.8a.1	8050043
K04G2.8b.1	8050043
K04G2.8c.1	8050043
F02E8.3.1	4458272
Y105E8A.9.1	14406043
F29G9.3.1	6017975
Y71H2B.10b.1	2597022
Y71H2B.10a.1	2597022
Y71H2B.10c.1	2597022
T20B5.1.1	9338678
T20B5.1.3	9338678
T20B5.1.2	9338678
W09G10.4b.1	3543781
W09G10.4a.1	3546421
R11A5.1a.1	7853750
R11A5.1b.1	7853750
F53H8.1.1	954997
Y48G8AL.14.1	1156020
W04G3.4.1	11068766
K08D9.3a.1	3210229
K08D9.3e.1	3218970
F32A5.5b.2	7237031
F32A5.5a.1	7238332
F32A5.5b.1	7237031
C01G6.1b.1	9261973
C01G6.1a.3	9261973
C01G6.1a.1	9261973
C01G6.1b.2	9261973
C01G6.1a.2	9261973
Y69E1A.7a.1	10963815
Y69E1A.7b.1	10962962
Y69E1A.7c.1	10966415
F40F9.9.1	9737651
C35A5.1.1	10491782
C32C4.2a.1	10650734
C32C4.2b.1	10648446
C32C4.2c.1	10648778
M02F4.8.2	3025536
M02F4.8.1	3025536
K02G10.7a.1	4704968
K02G10.7b.1	4704968
K02G10.7d.1	4703656
K02G10.7c.1	4702855
K07A1.16a.1	9606262
K07A1.16b.1	9608702
ZK1321.3.1	9769841
ZK525.2.1	13673290
ZK1320.6.1	9674981
F01G4.2a.1	11131293
F01G4.2b.1	11133356
F01G4.2b.2	11133356
B0336.2.3	5716116
B0336.2.2	5716116
B0336.2.1	5716116
F57H12.1.1	7982545
Y116A8C.12.1	16947128
F31A9.3b.1	1786907
F31A9.3a.1	1786907
C01C7.1a.1	12630966
C01C7.1b.1	12630966
F54C9.10.2	8582010
F54C9.10.1	8582010
F19H8.3.1	14607212
ZK632.8.1	9823253
F45E4.1.1	7634913
Y57G11C.13.1	14798179
C38D4.8.1	4814814
F53H8.2.1	950808
W02B12.6a.1	11464021
F28H1.3.1	3983205
F28H1.3.4	3983205
F28H1.3.3	3983205
F28H1.3.2	3983205
C15F1.6.1	6972234
Y71F9AL.16.1	2893713
K07C5.1.1	10338350
Y79H2A.6b.1	12058455
Y79H2A.6a.1	12058455
Y6D11A.1.1	860202
Y37D8A.1.1	12818096
C35D10.16.1	4878663
M01B12.3.1	3070140
F35G12.10.2	4595821
F35G12.10.1	4595821
F02E8.1.1	4469775
F02E8.1.2	4469775
F02E8.1.3	4469775
Y53F4B.15.1	15039416
K07A12.3.1	8692948
C53B7.4.1	6841259
B0252.2.1	6910084
B0252.2.2	6910084
ZK455.4.1	11324251
W03G1.7b.1	523553
W03G1.7a.1	523739
Y39B6A.20.1	19050752
Y39B6A.20.2	19050752
T18H9.2.1	9203079
H22K11.1.1	6791191
R12H7.2.1	13221427
F21F8.3.2	8272387
F21F8.3.1	8272387
F21F8.7.1	8268935
K08F8.2.1	8751986
T04C10.4.2	14810541
T04C10.4.1	14810541
F45E6.2.1	12480948
C07G2.2c.2	4494378
C07G2.2a.1	4498535
C07G2.2c.1	4494378
C07G2.2b.1	4498535
C07G2.2d.1	4494080
F26D10.9a.1	17269343
F26D10.9b.1	17271431
C38C6.2a.1	14644074
C38C6.2b.1	14643659
C38C6.2c.1	14641142
C38C6.2c.2	14641142
T06E4.3a.1	9645454
T06E4.3b.1	9645454
T06E4.3b.2	9645454
T06E4.3c.1	9638781
Y48G1BL.2b.1	192695
Y48G1BL.2a.1	183376
W04D2.1a.1	12478416
W04D2.1b.1	12478416
W04D2.1d.1	12479830
W04D2.1c.1	12479830
C34E10.6.2	5228428
C34E10.6.1	5228428
C34E10.6.3	5228428
F27C1.7a.4	5429620
F27C1.7a.3	5429620
F27C1.7a.2	5429620
F27C1.7b.1	5429806
F27C1.7a.5	5429620
F27C1.7a.1	5429620
D2045.1a.1	10461722
D2045.1b.1	10464464
D2045.1c.1	10461722
D2045.1d.1	10461389
B0207.12a.1	5973320
B0207.12a.2	5973320
B0207.12b.1	5973320
B0207.12c.1	5973320
R11G10.1b.1	13502508
R11G10.1c.1	13499534
R11G10.1a.1	13511625
R11G10.1b.2	13502508
B0464.7.1	9467469
F57B10.11.1	6564449
Y71F9AR.1.1	2957867
C54D1.6.1	7170616
C05D2.4a.1	5612289
C05D2.4b.1	5612289
K08F8.4a.1	8765071
K08F8.4b.1	8766922
Y105E8A.5.1	14376018
F20D12.3.1	7934128
T25F10.5.1	6765017
T13C5.5.2	6204743
T13C5.5.1	6204743
M7.3.1	11092548
T19E7.3a.1	5664417
T19E7.3b.1	5662307
C54C6.2.1	3541593
T27F2.3.1	11644763
C50B8.2.1	13568853
C09G5.6.1	10709014
C09G5.6.2	10709014
F59E12.12.1	5652421
F56C11.1.1	154819
K04F10.4e.2	6342437
K04F10.4j.1	6342437
K04F10.4i.2	6342437
K04F10.4i.1	6342437
K04F10.4h.2	6342437
K04F10.4h.1	6342437
K04F10.4g.2	6342437
K04F10.4d.1	6342437
K04F10.4a.2	6342437
K04F10.4j.2	6342437
K04F10.4g.1	6342437
K04F10.4b.1	6342437
K04F10.4c.2	6342437
K04F10.4f.2	6342437
K04F10.4f.1	6342437
K04F10.4e.1	6342437
K04F10.4d.2	6342437
K04F10.4b.2	6342437
K04F10.4a.1	6342437
K04F10.4c.1	6342437
F45G2.5.1	13429713
Y73B6BL.34.1	6377107
F23B12.8a.1	14456715
F23B12.8b.2	14456879
F23B12.8b.1	14456879
F23B12.8a.2	14456715
F13H8.10c.2	6277690
F13H8.10c.1	6277690
F13H8.10b.1	6277286
F13H8.10a.1	6274265
F54B11.6.1	13598471
F23H11.5.1	910581
C36A4.8b.1	3854286
C36A4.8a.1	3862958
K04C2.4.2	6889495
K04C2.4.1	6889495
C53B4.7c.1	8988791
C53B4.7e.1	8987634
C53B4.7a.1	8987275
C53B4.7a.2	8987275
C53B4.7c.2	8988791
C53B4.7b.1	8987988
C53B4.7d.1	8988677
Y39E4B.9b.1	13137232
Y39E4B.9c.1	13139614
Y39E4B.9a.1	13137232
Y39E4B.9d.1	13139614
B0464.4a.2	9473265
B0464.4a.1	9473265
Y73E7A.7a.1	1626605
Y73E7A.7b.1	1623873
Y73E7A.7a.2	1626605
Y73E7A.7b.2	1623873
T12G3.8b.1	12050724
T12G3.8a.1	12051196
F45E12.2a.1	7305871
F45E12.2b.1	7305871
F56A3.5.1	5186985
Y79H2A.1b.1	12020552
Y79H2A.1d.1	12020552
Y79H2A.1c.1	12021350
Y79H2A.1e.1	12020552
Y79H2A.1a.1	12020552
F15D4.1.1	13200171
R06C7.8.1	7251947
F57B9.5.1	6932005
C23H4.1.1	12205632
C23H4.1.2	12205632
C23H4.1.4	12205632
C23H4.1.3	12205632
F54D8.4a.1	5085289
F54D8.4b.1	5084286
D1022.8.1	7483091
K05G3.3.1	16487534
R01E6.3b.1	13542626
R01E6.3a.1	13543038
R173.1.1	7020090
T28F2.3.1	3629471
C13C12.1a.1	12515660
C13C12.1b.1	12517205
C18E9.1.1	8960734
M02B7.6b.1	3833010
M02B7.6a.1	3835165
T07G12.1c.1	10529507
T07G12.1a.1	10525301
T07G12.1b.1	10526142
C01G6.8a.1	9310301
C01G6.8b.1	9304821
C01G6.8c.1	9298973
D2024.6.2	7230222
D2024.6.1	7230222
M106.5.1	10869231
F41G4.2b.2	16813653
F41G4.2b.1	16813653
F41G4.2a.1	16813653
W01C8.6b.1	5710585
W01C8.6a.1	5710585
B0432.5c.1	258481
B0432.5a.1	257819
B0432.5b.1	258813
F32G8.6.1	10564914
T13F2.8a.1	9772532
T13F2.8b.1	9772984
C56A3.7a.1	13557160
C56A3.7b.1	13557303
C56A3.7c.1	13558774
C56A3.7d.1	13557160
R10E11.1c.2	9766698
R10E11.1a.1	9766698
R10E11.1b.1	9766698
R10E11.1c.1	9766698
C54D2.5c.2	7861231
C54D2.5g.2	7861231
C54D2.5e.3	7861231
C54D2.5e.2	7861231
C54D2.5c.1	7861231
C54D2.5e.1	7861231
C54D2.5d.3	7861231
C54D2.5d.2	7861231
C54D2.5d.1	7861231
C54D2.5a.1	7861231
C54D2.5c.3	7861231
C54D2.5g.1	7861231
C54D2.5a.2	7861231
C54D2.5a.3	7861231
C54D2.5g.3	7861231
T28F2.5.1	3646881
Y56A3A.20.1	11920220
Y73F8A.6.1	15275761
F26E4.9.1	9789009
F26E4.9.3	9789009
F26E4.9.2	9789009
T10B9.10.1	9803620
F08F3.7.1	5423264
ZK177.5.1	5504047
ZK177.5.2	5504047
ZC518.3e.1	12368430
ZC518.3c.2	12363046
ZC518.3a.1	12362062
ZC518.3d.1	12365545
ZC518.3c.1	12363046
ZC518.3b.1	12361654
T05C12.7.1	8185446
T21B10.7.3	8927745
T21B10.7.2	8927745
T21B10.7.1	8927745
K01C8.10.1	8283668
K01C8.10.2	8283668
C07G2.3b.5	4501177
C07G2.3b.4	4501177
C07G2.3b.1	4501177
C07G2.3b.3	4501177
C07G2.3a.2	4508084
C07G2.3b.2	4501177
C07G2.3a.1	4508084
F01F1.8b.2	5855682
F01F1.8a.1	5855682
F01F1.8b.1	5855682
F01F1.8a.2	5855682
C43E11.10.1	4270287
C17G10.4a.1	5593373
C17G10.4a.2	5593373
C17G10.4c.1	5593373
C17G10.4d.1	5593373
C17G10.4c.2	5593373
C17G10.4h.1	5593373
C17G10.4e.2	5593373
C17G10.4g.1	5593373
C17G10.4e.1	5593373
K06A5.7.2	6471902
K06A5.7.1	6471902
F16B4.8b.1	1582779
F16B4.8a.1	1577738
F16B4.8c.1	1583396
ZK637.11.1	8917895
R05H5.2.1	10189405
R07G3.1.1	7616457
C47D2.2.1	8210795
F49E8.4.1	7547893
C15B12.7b.1	6504538
C15B12.7c.1	6502977
C15B12.7a.1	6504538
ZK112.7.1	7754448
F25F2.2.1	4520459
F08B4.2b.1	8669142
F08B4.2d.1	8669142
F08B4.2c.1	8669142
F08B4.2a.1	8669142
R05H10.6.1	14843328
F59C12.1.1	16595240
C45G7.5.1	2463365
C45G7.5.2	2463365
B0034.3a.1	5956644
B0034.3b.1	5948631
B0034.3c.1	5947303
T05G5.3.2	9747474
T05G5.3.1	9747474
F18H3.5a.1	13518904
F18H3.5b.1	13517754
T27E9.3.1	13466295
Y39G10AL.3.3	2289747
Y39G10AL.3.2	2289747
Y39G10AL.3.1	2289747
F39H11.3.1	8702562
H25P06.2a.1	11323532
H25P06.2b.1	11323532
R06F6.1.1	10785469
F35E8.11.1	15921376
Y54E10A.15.1	3227967
ZK1236.2.1	8426340
Y47H9C.4d.1	11853177
Y47H9C.4a.1	11868099
Y47H9C.4b.1	11868099
Y47H9C.4c.1	11868099
Y41D4B.13c.1	1601280
Y41D4B.13a.1	1597320
Y41D4B.13b.1	1600261
C48D1.2a.1	13204066
C48D1.2b.1	13201889
C35D10.9b.2	4852325
C35D10.9a.1	4852325
C35D10.9a.2	4852325
C35D10.9b.1	4852325
C02F4.1.2	10484125
C02F4.1.1	10484125
F56D2.7.1	5595771
C48B4.4d.1	9579873
C48B4.4b.1	9579120
C48B4.4a.1	9579120
C48B4.4c.1	9579120
F08F1.5.1	8416809
T07C4.8.1	10335172
C09G12.8b.1	3509493
C09G12.8a.1	3509493
ZK512.3.1	9119559
Y106G6E.5a.1	10226972
Y106G6E.5a.2	10226972
Y106G6E.5b.1	10226993
R09F10.9.1	8299466
F16H11.4.1	4654155
C27A12.5.1	6050387
C16C2.1.1	9727217
K02B12.1.1	8502260
C34C6.8.1	8703829
ZK265.4a.1	8250896
ZK265.4b.1	8250016
ZK265.4c.1	8246967
Y65B4BR.9.1	566391
W03A3.1.1	5799073
F33D11.4b.1	5840756
F33D11.4a.1	5840289
R13A5.5.2	7555661
R13A5.5.1	7555661
F46C8.5.1	7532732
C13G5.1.2	8622888
C13G5.1.1	8622888
D1007.1.1	4570024
ZC64.3c.1	3857743
ZC64.3b.1	3857743
ZC64.3a.1	3857743
F20D12.6a.1	7954809
F20D12.6b.1	7955805
F31E3.1.1	6979887
T26C11.6.1	1852736
F29F11.5a.1	10672634
F29F11.5b.1	10674504
F29F11.5e.1	10674311
F29F11.5d.1	10672634
F29F11.5c.1	10673871
ZK652.5.1	7839594
F55B12.1.1	13813309
K12H4.1.1	8067338
F46F3.1b.1	11662678
F46F3.1a.1	11664697
K03A11.3.1	13074682
C33D12.7.2	3063706
C33D12.7.1	3063706
C33D12.1.1	3070307
W05E10.3.1	11705373
C10G8.7.1	5324616
C10G8.6.1	5319436
C37E2.4.1	14185535
C37E2.5c.1	14198823
C37E2.5b.1	14199027
C37E2.5a.3	14199729
C37E2.5a.2	14199729
C37E2.5a.1	14199729
F22D3.1o.1	6952070
F22D3.1n.1	6952070
F22D3.1m.1	6952070
F22D3.1l.1	6952070
F22D3.1c.2	6952070
F22D3.1j.1	6952070
F22D3.1p.1	6952070
F22D3.1i.1	6952070
F22D3.1h.1	6952070
F22D3.1k.1	6952070
F22D3.1e.1	6952070
F22D3.1b.1	6952070
F22D3.1d.1	6952070
F22D3.1c.1	6952070
F22D3.1g.1	6952070
F22D3.1a.1	6952070
F22D3.1d.2	6952070
F22D3.1f.1	6952070
T26C11.7.1	1855876
T26C11.7.2	1855876
F17A2.5.1	12320700
T26C11.5.1	1848675
C28A5.4b.1	4449943
C28A5.4a.1	4449943
Y54F10AM.4b.1	2530620
Y54F10AM.4a.1	2530620
Y54F10AM.4c.1	2530620
C07G2.1a.1	4489363
C07G2.1b.1	4489363
C03D6.3b.1	9665347
C03D6.3a.2	9665311
C03D6.3a.1	9665311
F52B5.5a.2	8324301
F52B5.5b.1	8327647
F52B5.5a.1	8324301
F43G9.11.1	8633949
ZK909.4.1	14961527
F33A8.3.1	11041127
F46F11.2.1	5619602
M01E11.5.1	5572917
M01E11.5.2	5572917
Y39A1C.3.2	10868619
Y39A1C.3.1	10868619
T23D8.8.1	9999928
C18C4.2.1	5538800
F27E11.3.1	3444875
C07H6.5.1	7497794
Y38C9A.2a.2	122752
Y38C9A.2a.1	122752
Y38C9A.2c.1	119958
Y38C9A.2b.1	120591
ZC416.8b.1	3617775
T14G8.1.1	12852583
C55B7.12b.1	6520879
C55B7.12a.1	6520879
F38G1.1.1	481451
F38G1.1.2	481451
F18C12.1.1	8081671
C23H5.7.1	2111408
F26D11.10c.1	7968899
F26D11.10a.1	7965563
F26D11.10b.1	7965563
F26D11.10d.1	7968899
C27A7.4.1	12150689
B0024.8a.1	10307354
B0024.8c.1	10302881
B0024.8d.1	10302340
B0024.8b.1	10303590
F59C6.7b.1	10509815
F59C6.7a.1	10515506
F56H1.1.1	5746725
T25G3.2.2	7555001
T25G3.2.1	7555001
F48A11.1a.1	203459
F48A11.1c.1	196985
F48A11.1b.1	200158
Y39H10A.7b.2	3759187
Y39H10A.7b.1	3759187
Y39H10A.7a.1	3759463
Y60A3A.12.1	19915973
T09B4.10.1	6183846
T09B4.10.2	6183846
C48D1.3.1	13214559
Y110A7A.13.1	5104911
Y110A7A.13.2	5104911
C04F6.3.1	3400016
H14E04.5.1	2401208
F44B9.4a.1	8009802
F44B9.4b.1	8009802
F44B9.4c.1	8007982
F44B9.4c.2	8007982
F44B9.3b.1	8011898
F44B9.3a.1	8010789
C28D4.2c.1	9733928
C28D4.2b.1	9733928
C28D4.2a.1	9737621
C52B9.1a.1	4286979
C52B9.1b.1	4287622
B0285.8.1	4365440
B0285.9.1	4367976
B0285.9.2	4367976
B0285.10.1	4370885
F22F7.5a.1	2109300
T27A10.3b.1	3576614
T27A10.3a.1	3576614
T05A6.1.1	7811259
T05A6.2c.2	7816708
T05A6.2c.1	7816708
T05A6.2b.1	7816708
T05A6.2a.2	7816708
T05A6.2a.1	7816708
C05H8.1a.1	5651743
C05H8.1b.1	5635489
Y47D3A.4.1	11154827
R07E5.8c.2	4422415
R07E5.8c.1	4422415
R07E5.8c.3	4422415
R07E5.8a.2	4419856
R07E5.8b.1	4422003
R07E5.8a.1	4419856
R07E5.8b.2	4422003
C15C8.2.1	12736751
C09F12.1.1	11048243
C09F12.1.2	11048243
C01C10.1.1	7431474
ZK563.4b.1	3374668
ZK563.4a.1	3374668
T05A10.2.1	10783907
C01C10.4.1	7433645
C36B1.1b.1	8719366
C36B1.1d.1	8724279
C36B1.1a.1	8724279
C36B1.1c.1	8710955
T27D12.2a.1	11854742
T27D12.2b.1	11854742
B0491.8b.1	11358447
B0491.8c.1	11365396
B0491.8a.1	11358447
E04F6.11h.1	7225192
E04F6.11a.1	7222997
E04F6.11c.1	7225648
E04F6.11d.1	7225340
E04F6.11f.1	7222997
E04F6.11g.1	7225340
E04F6.11i.1	7225648
E04F6.11e.1	7225192
T06F4.2a.1	4100536
T06F4.2b.1	4100536
C07H4.2.1	9098597
R07B7.1.1	12063368
R01B10.1a.1	6044104
R01B10.1a.2	6044104
K08B4.6.1	6093617
ZC395.2.1	5277894
C07H6.6.1	7518524
F07B10.1a.1	11265614
F07B10.1b.1	11265462
C01G8.2.1	5278698
ZC190.1.2	8683068
ZC190.1.1	8683068
C06G4.2b.1	7981169
C06G4.2a.2	7981169
C06G4.2a.1	7981169
C06G4.2b.3	7981169
C06G4.2d.1	7981169
C06G4.2c.1	7981169
C06G4.2b.2	7981169
T04A8.16.1	4704016
Y47H10A.1.1	12084209
Y39A3CL.5b.1	1818319
Y39A3CL.5a.1	1818319
Y77E11A.10.1	1434984
Y77E11A.11a.1	1445966
Y77E11A.11b.1	1438373
Y77E11A.11a.2	1445966
F56D1.4d.1	5466474
F56D1.4a.1	5466474
F56D1.4e.1	5466474
F56D1.4b.1	5466474
R107.6a.1	9055052
R107.6a.2	9055052
R107.6b.1	9055052
R107.6b.2	9055052
F55H2.6.1	9521460
C50F7.2.1	7734648
T21H3.3a.1	1156308
T21H3.3b.1	1156697
K07A9.2.1	1824528
F55C10.1b.1	11375791
F55C10.1a.1	11375791
R09B5.2.1	1444280
R09B5.3a.1	1450174
R09B5.3a.2	1450174
R09B5.3b.1	1450174
R09B5.8.1	1448085
R09B5.9.1	1447265
R09B5.10.1	1445381
Y46E12A.1.1	1763524
C34E10.7.1	5242044
F14H8.6b.1	15028739
F38E11.12.1	9480959
R01H10.8.1	10271304
Y17G7B.15d.1	12075409
Y17G7B.15c.1	12084198
Y17G7B.15a.1	12088861
Y17G7B.15b.1	12080075
Y39A1A.15a.1	10663661
Y39A1A.15e.1	10664524
Y39A1A.15b.2	10655779
Y39A1A.15c.1	10666960
Y39A1A.15g.1	10673006
Y39A1A.15d.1	10655779
Y39A1A.15b.1	10655779
Y39A1A.15f.1	10669271
ZK632.6b.1	9816331
ZK632.6a.1	9817131
C48E7.5.1	6250571
R03C1.3a.1	14902519
R03C1.3b.1	14904810
C06G3.10.1	7039547
K08A8.3a.1	7475011
K08A8.3b.1	7471109
K08A8.3c.1	7469232
K08A8.3d.1	7466476
F08H9.1.1	14457475
W01B6.7.1	10085437
T28C6.6.1	8824814
C15A11.5.1	7401697
F11H8.3.1	7020599
F54B11.1.1	13590035
B0222.8.1	9165290
F15H10.1.2	10425010
F15H10.1.1	10425010
F15H10.2.1	10421892
C46A5.3b.1	7753522
C46A5.3a.1	7753408
F11G11.10.2	4867423
F11G11.10.1	4867423
ZK1193.1.1	421724
F11G11.11.1	4870771
F36A4.6.1	4263341
F36A4.10.1	4244587
C15A11.1.1	7386935
C27H5.5b.1	7168647
C27H5.5c.1	7168647
C27H5.5a.1	7168647
ZK863.2.1	12167753
F54C9.4.1	8569069
C09G5.4.1	10704922
T13B5.4.1	1106923
T10B10.1.1	15176463
ZC513.8.1	8050864
F54B11.2.1	13591498
F53G12.7b.1	116462
F53G12.7a.1	115739
Y18H1A.13.1	745454
Y18H1A.12b.1	746873
Y18H1A.12a.1	745888
Y54E10BL.2.1	3010690
K09H9.3.1	3137209
T28F2.6.1	3652599
T28F2.8.1	3653997
D1007.2.1	4572663
M01A12.1.1	5644737
F33D11.3.1	5842714
T05E7.2.1	6199673
T08B2.2.1	6232777
F26B1.4.1	6311278
F22D6.10.1	7105319
C01H6.1.1	7203508
C15A11.6.1	7404352
ZK265.2.1	8244948
F52F12.2.1	9895596
K08C9.4.1	11490560
C50D2.4.1	104543
