wormbaseID	CDS	name	start	end
WBGene00000215	T18H9.2	asp-2	9203077	9204734
WBGene00000216	H22K11.1	asp-3	6791064	6792715
WBGene00000217	R12H7.2	asp-4	13218977	13221462
WBGene00000218	F21F8.3	asp-5	8272375	8274046
WBGene00000219	F21F8.7	asp-6	8267511	8268937
WBGene00000220	K08F8.2	atf-2	8751986	8753939
WBGene00000221	T04C10.4	atf-5	14808846	14810849
WBGene00000222	F45E6.2	atf-6	12480948	12484904
WBGene00000223	C07G2.2	atf-7	4491627	4499043
WBGene00000224	F26D10.9	atgp-1	17269342	17272183
WBGene00000225	C38C6.2	atgp-2	14640096	14644083
WBGene00000226	T06E4.3	atl-1	9634861	9645595
WBGene00000227	Y48G1BL.2	atm-1	183364	208465
WBGene00000228	W04D2.1	atn-1	12478413	12484442
WBGene00000229	C34E10.6	atp-2	5228417	5230536
WBGene00000230	F27C1.7	atp-3	5428469	5429908
WBGene00000231	D2045.1	atx-2	10461389	10468051
WBGene00000232	B0207.12	avr-14	5967250	5973320
WBGene00000233	R11G10.1	avr-15	13498786	13511718
WBGene00000235	B0464.7	baf-1	9467464	9468058
WBGene00000236	F57B10.11	bag-1	6563629	6564451
WBGene00000237	Y71F9AR.1	bam-2	2949600	2957910
WBGene00000238	C54D1.6	bar-1	7166005	7170625
WBGene00000239	C05D2.4	bas-1	5612274	5614700
WBGene00000240	K08F8.4	pah-1	8762668	8766922
WBGene00000241	Y105E8A.5	bbs-1	14371142	14376025
WBGene00000242	F20D12.3	bbs-2	7934097	7937746
WBGene00000244	T25F10.5	bbs-8	6762476	6765072
WBGene00000245	T13C5.5	bca-1	6201875	6204922
WBGene00000246	M7.3	bcc-1	11086074	11092552
WBGene00000247	T19E7.3	bec-1	5661141	5664425
WBGene00000248	C54C6.2	ben-1	3537688	3541628
WBGene00000249	T27F2.3	bir-1	11644760	11645370
WBGene00000250	C50B8.2	bir-2	13568850	13570030
WBGene00000251	C09G5.6	bli-1	10708765	10712156
WBGene00000252	F59E12.12	bli-2	5651394	5652449
WBGene00000253	F56C11.1	bli-3	146486	154850
WBGene00000254	K04F10.4	bli-4	6342231	6356678
WBGene00000255	F45G2.5	bli-5	13427642	13429713
WBGene00000256	Y73B6BL.34	bli-6	6377065	6378195
WBGene00000257	F23B12.8	bmk-1	14453305	14456998
WBGene00000259	F13H8.10	bpl-1	6274115	6279699
WBGene00000262	F54B11.6	bra-1	13598449	13599687
WBGene00000263	F23H11.5		909957	910589
WBGene00000264	C36A4.8	brc-1	3853026	3862958
WBGene00000265	K04C2.4	brd-1	6885204	6889523
WBGene00000266	C53B4.7	bre-1	8987130	8990444
WBGene00000267	Y39E4B.9	bre-2	13134014	13139614
WBGene00000268	B0464.4	bre-3	9469920	9485451
WBGene00000269	Y73E7A.7	bre-4	1621346	1628476
WBGene00000270	T12G3.8	bre-5	12049862	12051226
WBGene00000271	F45E12.2	brf-1	7305861	7308738
WBGene00000272	F56A3.5	bro-1	5186926	5188995
WBGene00000273	Y79H2A.1	brp-1	12020552	12025325
WBGene00000274	F15D4.1	btf-1	13200165	13215701
WBGene00000275	R06C7.8	bub-1	7251941	7255223
WBGene00000276	F57B9.5	byn-1	6932001	6935862
WBGene00000277	C23H4.1	cab-1	12199655	12213049
WBGene00000279	F54D8.4	cah-1	5083206	5085289
WBGene00000280	D1022.8	cah-2	7480751	7483109
WBGene00000281	K05G3.3	cah-3	16487481	16489397
WBGene00000282	R01E6.3	cah-4	13542574	13544599
WBGene00000283	R173.1	cah-5	7020033	7023950
WBGene00000284	T28F2.3	cah-6	3629471	3631112
WBGene00000285	C13C12.1	cal-1	12514875	12517205
WBGene00000286	C18E9.1	cal-2	8960714	8961577
WBGene00000287	M02B7.6	cal-3	3829546	3835165
WBGene00000288	T07G12.1	cal-4	10521422	10530597
WBGene00000289	C01G6.8	cam-1	9295918	9310304
WBGene00000292	D2024.6	cap-1	7228403	7230223
WBGene00000293	M106.5	cap-2	10869196	10870827
WBGene00000294	F41G4.2	cas-1	16807461	16813673
WBGene00000295	W01C8.6	cat-1	5705719	5710625
WBGene00000296	B0432.5	cat-2	257819	261063
WBGene00000298	F32G8.6	cat-4	10564880	10566445
WBGene00000301	T13F2.8	cav-1	9772510	9773470
WBGene00000302	C56A3.7	cav-2	13557104	13559922
WBGene00000308	C04A11.t1		13665555	13665673
WBGene00000310	C05C9.t1		11163358	11163439
WBGene00000311	C05C9.t2		11162919	11163000
WBGene00000366	R10E11.1	cbp-1	9766516	9774825
WBGene00000367	C54D2.5	cca-1	7847682	7875954
WBGene00000368	T28F2.5	ccb-1	3641668	3647009
WBGene00000369	Y56A3A.20	ccf-1	11918828	11920237
WBGene00000370	Y73F8A.6	ccg-1	15270160	15275835
WBGene00000371	F26E4.9	cox-5B	9788749	9790050
WBGene00000372	T10B9.10	cyp-13A7	9803620	9805510
WBGene00000373	F08F3.7	cyp-14A5	5421018	5423488
WBGene00000374	C01F6.3	cyp-31A1	9101773	9103851
WBGene00000375	ZK177.5	cyp-44A1	5503966	5506115
WBGene00000376	ZC518.3	ccr-4	12361542	12371852
WBGene00000377	T05C12.7	cct-1	8185443	8187601
WBGene00000378	T21B10.7	cct-2	8927741	8929820
WBGene00000379	K01C8.10	cct-4	8283667	8285711
WBGene00000380	C07G2.3	cct-5	4499191	4508114
WBGene00000381	F01F1.8	cct-6	5853532	5855687
WBGene00000382	C43E11.10	cdc-6	4268070	4270287
WBGene00000383	C17G10.4	cdc-14	5589186	5593628
WBGene00000386	K06A5.7	cdc-25.1	6469386	6471995
WBGene00000387	F16B4.8	cdc-25.2	1567076	1585532
WBGene00000388	ZK637.11	cdc-25.3	8916351	8917929
WBGene00000389	R05H5.2	cdc-25.4	10188263	10189469
WBGene00000390	R07G3.1	cdc-42	7616452	7618245
WBGene00000391	C47D2.2	cdd-1	8208748	8211149
WBGene00000392	F49E8.4	cdd-2	7547118	7547893
WBGene00000393	C15B12.7	cdf-1	6499928	6504613
WBGene00000395	ZK112.7	cdh-3	7741326	7754448
WBGene00000396	F25F2.2	cdh-4	4520363	4536991
WBGene00000397	F08B4.2	cdh-5	8668941	8676542
WBGene00000399	R05H10.6	cdh-7	14843177	14850905
WBGene00000401	F59C12.1	cdh-9	16595238	16602238
WBGene00000402	C45G7.5	cdh-10	2436505	2463405
WBGene00000403	B0034.3	casy-1	5945418	5956683
WBGene00000405	T05G5.3	cdk-1	9747432	9748852
WBGene00000406	F18H3.5	cdk-4	13515871	13518911
WBGene00000407	T27E9.3	cdk-5	13464687	13466390
WBGene00000408	Y39G10AL.3	cdk-7	2281504	2291183
WBGene00000409	F39H11.3	cdk-8	8702478	8705825
WBGene00000410	H25P06.2	cdk-9	11323527	11333152
WBGene00000411	R06F6.1	cdl-1	10785452	10787272
WBGene00000412	F35E8.11	cdr-1	15921309	15922818
WBGene00000413	Y54E10A.15	cdt-1	3223160	3228104
WBGene00000414	ZK1236.2	cec-1	8426334	8428583
WBGene00000415	Y47H9C.4	ced-1	11851566	11868105
WBGene00000416	Y41D4B.13	ced-2	1597316	1601620
WBGene00000417	C48D1.2	ced-3	13198372	13204133
WBGene00000418	C35D10.9	ced-4	4852313	4855177
WBGene00000419	C02F4.1	ced-5	10484110	10492952
WBGene00000420	F56D2.7	ced-6	5595771	5598066
WBGene00000421	C48B4.4	ced-7	9570394	9580081
WBGene00000422	F08F1.5	ced-8	8414015	8416919
WBGene00000423	T07C4.8	ced-9	10335172	10337536
WBGene00000424	C09G12.8	ced-10	3506328	3509527
WBGene00000425	ZK512.3	ced-11	9119559	9125153
WBGene00000426	Y106G6E.5	ced-12	10222881	10227009
WBGene00000427	R09F10.9	ced-13	8299119	8299654
WBGene00000428	F16H11.4	ceh-1	4653434	4654157
WBGene00000429	C27A12.5	ceh-2	6046832	6050462
WBGene00000430	C16C2.1	ceh-5	9727169	9728034
WBGene00000431	K02B12.1	ceh-6	8498114	8502412
WBGene00000432	C34C6.8	ceh-7	8703368	8703829
WBGene00000433	ZK265.4	ceh-8	8245722	8250896
WBGene00000434	Y65B4BR.9	ceh-9	565436	566414
WBGene00000435	W03A3.1	ceh-10	5799073	5801109
WBGene00000436	F33D11.4	ceh-12	5840289	5841888
WBGene00000437	R13A5.5	ceh-13	7555617	7558208
WBGene00000438	F46C8.5	ceh-14	7528616	7532732
WBGene00000439	C13G5.1	ceh-16	8622658	8626312
WBGene00000440	D1007.1	ceh-17	4568962	4570027
WBGene00000441	ZC64.3	ceh-18	3843367	3857797
WBGene00000442	F20D12.6	ceh-19	7953509	7955898
WBGene00000443	F31E3.1	ceh-20	6979884	6981785
WBGene00000444	T26C11.6	ceh-21	1848795	1852736
WBGene00000445	F29F11.5	ceh-22	10672459	10675644
WBGene00000446	ZK652.5	ceh-23	7839594	7841491
WBGene00000447	F55B12.1	ceh-24	13813309	13815272
WBGene00000448	K12H4.1	pros-1	8067289	8071455
WBGene00000449	F46F3.1	ceh-27	11661670	11665085
WBGene00000450	K03A11.3	ceh-28	13074682	13076092
WBGene00000451	C33D12.7	ceh-30	3063585	3065551
WBGene00000452	C33D12.1	ceh-31	3068650	3070396
WBGene00000453	W05E10.3	ceh-32	11701764	11705400
WBGene00000454	C10G8.7	ceh-33	5323204	5324616
WBGene00000455	C10G8.6	ceh-34	5315513	5319577
WBGene00000457	C37E2.4	ceh-36	14183449	14185597
WBGene00000458	C37E2.5	ceh-37	14197373	14209153
WBGene00000459	F22D3.1	ceh-38	6951640	6955399
WBGene00000460	T26C11.7	ceh-39	1853874	1856189
WBGene00000461	F17A2.5	ceh-40	12318240	12320777
WBGene00000462	T26C11.5	ceh-41	1846608	1848675
WBGene00000463	C28A5.4	ceh-43	4446637	4449943
WBGene00000464	Y54F10AM.4	ceh-44	2530615	2546420
WBGene00000465	C07G2.1	cpg-1	4489359	4491392
WBGene00000466	C03D6.3	cel-1	9665194	9668664
WBGene00000467	F52B5.5	cep-1	8324120	8328853
WBGene00000468	F43G9.11	ces-1	8633925	8636044
WBGene00000469	ZK909.4	ces-2	14961501	14965361
WBGene00000472	F33A8.3	cey-1	11039348	11041206
WBGene00000473	F46F11.2	cey-2	5619569	5620668
WBGene00000474	M01E11.5	cey-3	5571787	5573019
WBGene00000475	Y39A1C.3	cey-4	10866870	10868727
WBGene00000476	T23D8.8	cfi-1	9994731	9999928
WBGene00000477	C18C4.2	cft-1	5538800	5545766
WBGene00000478	F27E11.3	cfz-2	3441504	3444877
WBGene00000479	C07H6.5	cgh-1	7495320	7497832
WBGene00000480	Y38C9A.2	cgp-1	118043	122966
WBGene00000481	ZC416.8	cha-1	3613934	3624697
WBGene00000482	T14G8.1	chd-3	12846437	12852601
WBGene00000483	C55B7.12	che-1	6517575	6520879
WBGene00000484	F38G1.1	che-2	481378	486504
WBGene00000485	F18C12.1	che-3	8062059	8081671
WBGene00000487	C23H5.7	che-6	2104056	2111408
WBGene00000488	F26D11.10	che-7	7961539	7968899
WBGene00000490	C27A7.4	che-11	12144295	12150689
WBGene00000491	B0024.8	che-12	10299473	10307354
WBGene00000492	F59C6.7	che-13	10507000	10515506
WBGene00000493	F56H1.1	che-14	5746633	5754278
WBGene00000496	T25G3.2	chs-1	7554855	7559916
WBGene00000497	F48A11.1	chs-2	196985	211941
WBGene00000498	Y39H10A.7	chk-1	3757047	3759469
WBGene00000499	Y60A3A.12	chk-2	19908765	19916023
WBGene00000500	T09B4.10	chn-1	6181314	6183913
WBGene00000501	C48D1.3	cho-1	13209729	13214566
WBGene00000502	Y110A7A.13	chp-1	5103581	5104956
WBGene00000503	C04F6.3	cht-1	3397613	3400017
WBGene00000506	H14E04.5	cic-1	2394325	2401308
WBGene00000507	F44B9.4	cit-1.1	8005935	8009821
WBGene00000508	F44B9.3	cit-1.2	8010778	8013774
WBGene00000509	C28D4.2	cka-1	9731737	9737621
WBGene00000510	C52B9.1	cka-2	4286737	4291494
WBGene00000511	B0285.8	ckb-1	4365285	4367469
WBGene00000512	B0285.9	ckb-2	4367832	4370160
WBGene00000513	B0285.10	ckb-3	4370885	4372820
WBGene00000514	F22F7.5	ckb-4	2106398	2109418
WBGene00000515	T27A10.3	ckc-1	3576608	3578830
WBGene00000516	T05A6.1	cki-1	7811240	7812105
WBGene00000517	T05A6.2	cki-2	7816509	7820301
WBGene00000518	C05H8.1	ckk-1	5635479	5654558
WBGene00000519	Y47D3A.4	cku-70	11154827	11168820
WBGene00000520	R07E5.8	cku-80	4419848	4423368
WBGene00000521	C15C8.2	cky-1	12736703	12741211
WBGene00000522	C09F12.1	clc-1	11047446	11049271
WBGene00000523	C01C10.1	clc-2	7431472	7433548
WBGene00000524	ZK563.4	clc-3	3373247	3374740
WBGene00000525	T05A10.2	clc-4	10782996	10783907
WBGene00000526	C01C10.4	clc-5	7433632	7435733
WBGene00000527	C36B1.1	cle-1	8705670	8724279
WBGene00000528	T27D12.2	clh-1	11846508	11854743
WBGene00000529	B0491.8	clh-2	11358447	11370311
WBGene00000530	E04F6.11	clh-3	7217955	7225648
WBGene00000531	T06F4.2	clh-4	4094867	4100573
WBGene00000532	C07H4.2	clh-5	9094710	9098605
WBGene00000533	R07B7.1	clh-6	12060234	12063368
WBGene00000534	R01B10.1	cpi-2	6044028	6045671
WBGene00000535	K08B4.6	cpi-1	6092603	6093680
WBGene00000536	ZC395.2	clk-1	5277894	5279344
WBGene00000537	C07H6.6	clk-2	7515223	7518524
WBGene00000539	F07B10.1	cln-3.1	11263523	11265711
WBGene00000540	C01G8.2	cln-3.2	5274693	5278708
WBGene00000541	ZC190.1	cln-3.3	8682955	8686160
WBGene00000542	C06G4.2	clp-1	7980913	7986327
WBGene00000543	T04A8.16	clp-2	4700325	4704054
WBGene00000544	Y47H10A.1	clp-3	12073143	12084221
WBGene00000545	Y39A3CL.5	clp-4	1807740	1818323
WBGene00000546	Y77E11A.10	clp-6	1431272	1435039
WBGene00000547	Y77E11A.11	clp-7	1435465	1446182
WBGene00000548	F56D1.4	clr-1	5466363	5473812
WBGene00000549	R107.6	cls-2	9055052	9058882
WBGene00000550	F55H2.6	clu-1	9516631	9521460
WBGene00000551	C50F7.2	clx-1	7734647	7736409
WBGene00000552	T21H3.3	cmd-1	1156271	1158174
WBGene00000553	K07A9.2	cmk-1	1824481	1834029
WBGene00000554	F55C10.1	cnb-1	11375742	11377990
WBGene00000555	R09B5.2	cnc-1	1444044	1444280
WBGene00000556	R09B5.3	cnc-2	1449665	1450189
WBGene00000557	R09B5.8	cnc-3	1448004	1448790
WBGene00000558	R09B5.9	cnc-4	1447195	1447707
WBGene00000559	R09B5.10	cnc-5	1445381	1445832
WBGene00000560	Y46E12A.1	cnc-6	1763524	1764836
WBGene00000561	C34E10.7	cnd-1	5240593	5242108
WBGene00000562	F14H8.6	cng-1	15025740	15031473
WBGene00000563	F38E11.12	cng-3	9477522	9481037
WBGene00000564	R01H10.8	cnk-1	10271257	10278579
WBGene00000565	Y17G7B.15	cnt-1	12072082	12088868
WBGene00000566	Y39A1A.15	cnt-2	10655018	10677521
WBGene00000567	ZK632.6	cnx-1	9814364	9817137
WBGene00000583	C48E7.5	cof-2	6250475	6252834
WBGene00000584	R03C1.3	cog-1	14902493	14907533
WBGene00000585	C06G3.10	cogc-2	7036960	7039580
WBGene00000591	K08A8.3	coh-1	7465193	7475014
WBGene00000592	F08H9.1	coh-3	14457475	14460136
WBGene00000593	W01B6.7	col-2	10084454	10085438
WBGene00000594	T28C6.6	col-3	8824783	8826013
WBGene00000596	C15A11.5	col-7	7401674	7402753
WBGene00000597	F11H8.3	col-8	7019583	7020600
WBGene00000598	F54B11.1	col-9	13590035	13591207
WBGene00000599	B0222.8	col-10	9164297	9165307
WBGene00000601	F15H10.1	col-12	10423907	10425092
WBGene00000602	F15H10.2	col-13	10420890	10421892
WBGene00000603	C46A5.3	col-14	7753408	7754651
WBGene00000606	F11G11.10	col-17	4866436	4867576
WBGene00000608	ZK1193.1	col-19	421707	423033
WBGene00000609	F11G11.11	col-20	4869607	4870791
WBGene00000610	F36A4.6	col-33	4263293	4265202
WBGene00000611	F36A4.10	col-34	4243548	4244610
WBGene00000612	C15A11.1	col-35	7385907	7386935
WBGene00000613	C27H5.5	col-36	7167513	7168662
WBGene00000614	ZK863.2	col-37	12166706	12167753
WBGene00000615	F54C9.4	col-38	8568035	8569089
WBGene00000616	C09G5.4	col-39	10704902	10706019
WBGene00000617	T13B5.4	col-40	1104945	1106925
WBGene00000618	T10B10.1	col-41	15175035	15176481
WBGene00000620	ZC513.8	col-43	8049744	8050893
WBGene00000621	F54B11.2	col-44	13591498	13592461
WBGene00000622	F53G12.7	col-45	115739	117438
WBGene00000623	Y18H1A.13	col-46	741913	745570
WBGene00000624	Y18H1A.12	col-47	745859	748288
WBGene00000625	Y54E10BL.2	col-48	3010688	3011648
WBGene00000626	K09H9.3	col-49	3137185	3138447
WBGene00000627	T28F2.6	col-50	3651230	3652599
WBGene00000628	T28F2.8	col-51	3653997	3655265
WBGene00000629	D1007.2	col-52	4571214	4572787
WBGene00000630	M01A12.1	col-53	5644729	5646370
WBGene00000631	F33D11.3	col-54	5842709	5844050
